"Year_Month","AAPL.Coeff","AXP.Coeff","BA.Coeff","CAT.Coeff","CSCO.Coeff","CVX.Coeff","DIS.Coeff","DOW.Coeff","GS.Coeff","HD.Coeff","IBM.Coeff","INTC.Coeff","JNJ.Coeff","JPM.Coeff","KO.Coeff","MCD.Coeff","MMM.Coeff","MRK.Coeff","MSFT.Coeff","NKE.Coeff","PFE.Coeff","PG.Coeff","TRV.Coeff","UNH.Coeff","UTX.Coeff","V.Coeff","VZ.Coeff","WBA.Coeff","WMT.Coeff","XOM.Coeff"
20143,"Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","0.0187723705059607","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant"
20153,"Not Significant","0.00805335783212944","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","0.00694558103479975","Not Significant","Not Significant","Not Significant","-0.00605893229903766","Not Significant","0.00694828729123836","Not Significant","Not Significant","-0.00646427726218449","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","-0.0090073198195075","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant"
20203,"Not Significant","0.0159737669020887","Not Significant","Not Significant","Not Significant","0.0190687546238389","Not Significant","Not Significant","0.00943384698754588","Not Significant","Not Significant","Not Significant","Not Significant","0.0122277381751568","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","-0.00648548080602073","Not Significant","Not Significant","Not Significant","0.0134495351937164","0.00658414278272258","Not Significant","Not Significant","-0.0146281620654229","Not Significant"
20084,"Not Significant","Not Significant","-0.0225832534707227","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","0.015689077844272","Not Significant","Not Significant","Not Significant","Not Significant","0.0226257268529587","Not Significant","Not Significant","Not Significant","Not Significant","-0.0260767996710154","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant"
20094,"Not Significant","Not Significant","-0.00860230534899902","Not Significant","-0.00777803515575802","Not Significant","-0.0102895957013209","Not Significant","0.0163555808637057","Not Significant","Not Significant","Not Significant","Not Significant","0.0266245064427345","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","0.0103500416509799","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant"
20104,"Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant"
20114,"Not Significant","0.0121995932801632","Not Significant","Not Significant","0.0348937076745539","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","0.0226848974611351","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant"
20134,"Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","-0.0115348108521205","0.0158422872762644","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","-0.0276439451332537","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant"
20144,"Not Significant","Not Significant","0.0144638967071286","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","-0.020157862578279","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","-0.0138485270750986","0.0129167315266754","Not Significant","-0.00840369543111327","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant"
20154,"Not Significant","Not Significant","Not Significant","0.011035292353108","Not Significant","0.010043704356276","Not Significant","Not Significant","Not Significant","-0.00825601774303369","Not Significant","Not Significant","Not Significant","0.0102608464222417","Not Significant","Not Significant","Not Significant","0.0189965665738584","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","0.00579010566400925","Not Significant","Not Significant","0.00842795290353139"
