"Year_Month","AAPL.Coeff","AXP.Coeff","BA.Coeff","CAT.Coeff","CSCO.Coeff","CVX.Coeff","DIS.Coeff","DOW.Coeff","GS.Coeff","HD.Coeff","IBM.Coeff","INTC.Coeff","JNJ.Coeff","JPM.Coeff","KO.Coeff","MCD.Coeff","MMM.Coeff","MRK.Coeff","MSFT.Coeff","NKE.Coeff","PFE.Coeff","PG.Coeff","TRV.Coeff","UNH.Coeff","UTX.Coeff","V.Coeff","VZ.Coeff","WBA.Coeff","WMT.Coeff","XOM.Coeff"
20159,"-0.0509478093363233","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","0.0170238831867001","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant"
20169,"Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","-0.0212404680816283","Not Significant","Not Significant","Not Significant","-0.0110241536808364","-0.0164057590806196","Not Significant","Not Significant","Not Significant","-0.0162899870265679","Not Significant","Not Significant","-0.0186200639314346","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant"
20179,"Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","-0.0152262687969285","Not Significant","0.010938512275684","Not Significant","Not Significant","Not Significant","0.0132664011775829","Not Significant","Not Significant","Not Significant","Not Significant","0.0184161026643148","Not Significant","0.0151312139728683","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","0.0172218173549842","Not Significant"
20079,"Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","0.0222266069608851","0.0311090399178199","Not Significant","Not Significant","Not Significant","0.015927526673115","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","0.0314681799618227","Not Significant"
20089,"Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","0.0324561388876893","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","0.0137067056978815","Not Significant","0.0171240541477393","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","0.0184386541995058","0.0192801010212565","Not Significant","-0.016180593899335"
20129,"-0.032593919627581","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","0.0119358509768666","Not Significant","Not Significant","Not Significant","Not Significant","0.0252073694988955","Not Significant","Not Significant","0.0196967088101137","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","0.0224098667226827","Not Significant","0.0199424285224496","Not Significant"
20139,"Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","-0.0242578627323926","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","0.0598449438351205","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant"
20149,"-0.0564712972493936","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","0.0133507489151951","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","0.0289334556358514","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant"
20189,"Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","-0.0156200374954065","Not Significant","Not Significant","Not Significant","0.0198546871361234","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant"
20199,"0.0199259955448007","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","0.0175310980038786","Not Significant","Not Significant","0.0128720716746731","Not Significant","Not Significant","Not Significant","-0.0151403288782701","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","0.0172200535836113","Not Significant","Not Significant","Not Significant"
