"Year_Month","AAPL.Coeff","AXP.Coeff","BA.Coeff","CAT.Coeff","CSCO.Coeff","CVX.Coeff","DIS.Coeff","DOW.Coeff","GS.Coeff","HD.Coeff","IBM.Coeff","INTC.Coeff","JNJ.Coeff","JPM.Coeff","KO.Coeff","MCD.Coeff","MMM.Coeff","MRK.Coeff","MSFT.Coeff","NKE.Coeff","PFE.Coeff","PG.Coeff","TRV.Coeff","UNH.Coeff","UTX.Coeff","V.Coeff","VZ.Coeff","WBA.Coeff","WMT.Coeff","XOM.Coeff"
201610,"0.0126023758361071","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant"
201710,"Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","-0.00600834117320015"
200711,"Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","-0.0193936317090049","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant"
201011,"Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","-0.0163738033911391","Not Significant","-0.00894130719059409","-0.0078812594116989","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","-0.0127501552676371","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant"
201111,"Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant"
201211,"Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","-0.0172494440766653","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","-0.0112730922787088","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","-0.0112535102796255"
201311,"Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","-0.0078068251590001","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant"
201611,"Not Significant","Not Significant","Not Significant","0.00927993550705298","Not Significant","-0.00474549169764973","Not Significant","Not Significant","0.00433530061747525","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","-0.00523575182246991","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","-0.00519046502599393"
201711,"Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","-0.00761000865557429","Not Significant","Not Significant","Not Significant","Not Significant","0.0107007850218555","Not Significant","-0.0057045681366613","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant"
201811,"Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","-0.00708569226779239","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant"
